annee,mesure,libelle_mesure,tranche_age,libelle_age,valeur,statut
1994,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,28.8,
1995,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,28.9,
1996,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.0,
1997,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.1,
1998,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.3,
1999,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.3,
2000,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.3,
2001,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.3,
2002,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.4,
2003,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.5,
2004,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.5,
2005,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.6,
2006,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.7,
2007,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.8,
2008,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.8,
2009,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.9,
2010,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,29.9,
2011,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.0,
2012,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.1,
2013,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.2,
2014,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.3,
2015,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.4,
2016,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.5,
2017,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.5,
2018,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.6,
2019,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.7,
2020,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.8,
2021,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,30.9,
2022,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,31.0,
2023,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,31.0,
2024,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,31.1,
2025,AVERAGE_MOTHER,Âge moyen à la maternité (années),_Z,Non applicable,31.2,
1982,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,14.8,
1983,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.8,
1984,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,14.0,
1985,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,14.1,
1986,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,14.2,
1987,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.9,
1988,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.9,
1989,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.8,
1990,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.6,
1991,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.5,
1992,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.2,
1993,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.6,
1994,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.5,
1995,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
1996,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
1997,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.7,
1998,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
1999,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.9,
2000,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.3,
2001,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.1,
2002,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.9,
2003,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
2004,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
2005,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
2006,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,13.1,
2007,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
2008,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.9,
2009,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.8,
2010,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.9,
2011,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.7,
2012,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.6,
2013,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.3,
2014,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.4,
2015,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,12.0,
2016,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,11.8,
2017,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,11.5,
2018,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,11.3,
2019,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,11.2,
2020,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,10.9,
2021,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,10.9,
2022,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,10.6,
2023,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,9.9,
2024,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,9.6,
2025,BRTHRT,Taux brut de natalité (pour 1000 habitants),_T,Toutes tranches,9.4,
1975,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1976,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1977,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1978,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1979,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1980,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1981,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
1982,FERIND,"Indicateur conjoncturel de fécondité (÷100, ex. 182 = 1,82 enfant/femme)",Y15T24,15-24 ans,0.0,
