pmid,dosage,duree,taille_echantillon,type_etude
38748979,0.4 mg,,,systematic review
31043758,,,n = 321 | n = 230,
33540766,,,,
26805461,,,,
40947085,,2 to 3 week | 12 weeks | 3 week,,randomized controlled trial | systematic review
29587861,,60 days,186 consecutive patients | 169 participants | 17 women,randomized controlled trial
39019217,30 mg/d,,2617 participants,Systematic Review | Meta-Analysis
39129455,,,1529 participants,randomized controlled trial | systematic review | meta-analysis
39648702,300 mg,10 and 6 weeks | 6 weeks | 2 weeks,,double-blind | placebo-controlled
41800295,,,100 patients,
41090426,,,50 women,
37693363,,,,cohort study
36248036,,,22 patients,cohort study
28904494,,,192 participants | 99 participants,prospective study
39829955,,,1459 patients | 35 women,
40473092,,,1708 women,Randomized controlled trial | randomized trial | systematic review | meta-analysis
40185642,,,,
20100361,400 mcg,,,
33914901,,,2130 participants | 626 participants | 180 participants | 264 participants | 210 participants | 212 participants | 850 participants | 607 participants | 606 participants | 707 participants | 317 participants | 577 participants | 574 participants | 37 participants,randomised controlled trial
26888948,,,,
34434079,,,,
38785109,,,n = 47 | n = 24 | n = 7 | n = 60,
34060788,,,,
38381408,,,,
37515835,,,,
20089454,1.2 g/d,5 days,60 patients,double-blind | placebo-controlled
22540635,100 mg/d | 1.2 g/d,5 days,,double-blind | placebo-controlled
15705376,1.2 g/d | 100 mg/d,5 days,,randomized trial | double-blind | Placebo-controlled
21744744,2 g,3 months,,
32542134,,,,randomized controlled trial
42451096,,,,randomized controlled trial | Systematic Review
33468143,,,,randomized controlled trial
33877679,,,331 patients | 307 patients,Randomized trial | systematic review | meta-analysis
39579343,,,,
42226245,,,,
33385538,,,,
42500134,20 mg/day,10 days,n = 35 | n = 7 | n = 13,placebo-controlled
30480773,,37 weeks | 34 weeks | 42 weeks | 67 days,927 women | 304 participants | 5204 participants | 5141 participants | 7416 participants | 6920 participants | 8449 participants | 3722 participants | 6907 participants | 2900 participants | 2690 participants | 2458 participants | 2431 participants | 517 participants | 8306 participants | 243 participants | 5000 women,Randomised controlled trial
33255561,,,,
39396702,,36 weeks,N = 64 | N = 68,randomized controlled trial
38061271,100 mg | 50 mg,29 weeks | 36 weeks,,randomized controlled trial | double-blind
28599630,1.8 g | 1.08 g | 0.72 g,30-32 weeks | 4-6 weeks | 32 weeks | 6 weeks | 16 weeks,,randomized placebo-controlled trial | placebo-controlled | cohort study
